timestamp,model_key,embedding,seed,rule,alpha,tau,train_acc,cv_acc,cv_gap,gqr_id,gqr_ood,gqr,vault_acc,new_ood_acc,hmean_unseen,vault_per_set,vault_rej,new_ood_per_set,alpha_sweep
20260820_131105,svm,mini,22,argmax,,,0.9882,0.9649,0.0233,0.9758,0.8429,0.9045,0.8359,0.8094,0.8224,"{""aus_legal_qa"": 0.825, ""bitext_banking"": 0.885, ""finqa_10k"": 0.851, ""medmcqa"": 0.782}","{""aus_legal_qa"": 0.077, ""bitext_banking"": 0.089, ""finqa_10k"": 0.062, ""medmcqa"": 0.185}","{""trec"": 0.819, ""agnews_ws"": 0.829, ""rotten_tomatoes"": 0.94, ""codealpaca"": 0.54, ""gsm8k"": 0.752, ""yahoo_se"": 0.937, ""tweets"": 0.849}",
20260820_131105,svm,mini,22,tau,0.02,0.30153,0.9882,0.9649,0.0233,0.9719,0.8911,0.9298,0.8087,0.856,0.8317,"{""aus_legal_qa"": 0.801, ""bitext_banking"": 0.859, ""finqa_10k"": 0.83, ""medmcqa"": 0.745}","{""aus_legal_qa"": 0.104, ""bitext_banking"": 0.117, ""finqa_10k"": 0.086, ""medmcqa"": 0.227}","{""trec"": 0.841, ""agnews_ws"": 0.863, ""rotten_tomatoes"": 0.962, ""codealpaca"": 0.677, ""gsm8k"": 0.798, ""yahoo_se"": 0.951, ""tweets"": 0.9}","{""0.005"": {""tau"": 0.88135, ""val_acc"": 0.9745, ""aux_rej"": 0.8734, ""score"": 0.9212}, ""0.01"": {""tau"": 0.68288, ""val_acc"": 0.97, ""aux_rej"": 0.9469, ""score"": 0.9583}, ""0.02"": {""tau"": 0.30153, ""val_acc"": 0.9614, ""aux_rej"": 0.9839, ""score"": 0.9725}, ""0.03"": {""tau"": 0.15494, ""val_acc"": 0.9524, ""aux_rej"": 0.9901, ""score"": 0.9709}, ""0.05"": {""tau"": 0.0508, ""val_acc"": 0.9339, ""aux_rej"": 0.9964, ""score"": 0.9641}, ""0.08"": {""tau"": 0.01823, ""val_acc"": 0.9047, ""aux_rej"": 0.9979, ""score"": 0.949}, ""0.12"": {""tau"": 0.00851, ""val_acc"": 0.8673, ""aux_rej"": 0.9995, ""score"": 0.9287}, ""0.2"": {""tau"": 0.00275, ""val_acc"": 0.7899, ""aux_rej"": 0.9995, ""score"": 0.8824}}"
20260820_131131,xgb,mini,22,argmax,,,1.0,0.9554,0.0446,0.9763,0.8642,0.9169,0.8229,0.8703,0.846,"{""aus_legal_qa"": 0.787, ""bitext_banking"": 0.876, ""finqa_10k"": 0.865, ""medmcqa"": 0.764}","{""aus_legal_qa"": 0.139, ""bitext_banking"": 0.115, ""finqa_10k"": 0.058, ""medmcqa"": 0.204}","{""trec"": 0.831, ""agnews_ws"": 0.844, ""rotten_tomatoes"": 0.954, ""codealpaca"": 0.821, ""gsm8k"": 0.83, ""yahoo_se"": 0.941, ""tweets"": 0.872}",
20260820_131131,xgb,mini,22,tau,0.03,0.30296,1.0,0.9554,0.0446,0.9691,0.8984,0.9324,0.7975,0.9067,0.8486,"{""aus_legal_qa"": 0.751, ""bitext_banking"": 0.855, ""finqa_10k"": 0.848, ""medmcqa"": 0.736}","{""aus_legal_qa"": 0.18, ""bitext_banking"": 0.138, ""finqa_10k"": 0.076, ""medmcqa"": 0.24}","{""trec"": 0.849, ""agnews_ws"": 0.874, ""rotten_tomatoes"": 0.973, ""codealpaca"": 0.89, ""gsm8k"": 0.893, ""yahoo_se"": 0.958, ""tweets"": 0.91}","{""0.005"": {""tau"": 0.94231, ""val_acc"": 0.9725, ""aux_rej"": 0.7943, ""score"": 0.8744}, ""0.01"": {""tau"": 0.84917, ""val_acc"": 0.9683, ""aux_rej"": 0.8896, ""score"": 0.9273}, ""0.02"": {""tau"": 0.49499, ""val_acc"": 0.9599, ""aux_rej"": 0.9552, ""score"": 0.9575}, ""0.03"": {""tau"": 0.30296, ""val_acc"": 0.9514, ""aux_rej"": 0.9729, ""score"": 0.962}, ""0.05"": {""tau"": 0.09081, ""val_acc"": 0.933, ""aux_rej"": 0.9927, ""score"": 0.9619}, ""0.08"": {""tau"": 0.03138, ""val_acc"": 0.9061, ""aux_rej"": 0.9969, ""score"": 0.9493}, ""0.12"": {""tau"": 0.01101, ""val_acc"": 0.8692, ""aux_rej"": 0.9984, ""score"": 0.9293}, ""0.2"": {""tau"": 0.0027, ""val_acc"": 0.7914, ""aux_rej"": 0.9995, ""score"": 0.8833}}"
20260820_131658,svm,mini,43,argmax,,,0.9881,0.9646,0.0234,0.9748,0.8541,0.9104,0.8344,0.8145,0.8243,"{""aus_legal_qa"": 0.822, ""bitext_banking"": 0.885, ""finqa_10k"": 0.849, ""medmcqa"": 0.782}","{""aus_legal_qa"": 0.075, ""bitext_banking"": 0.087, ""finqa_10k"": 0.063, ""medmcqa"": 0.186}","{""trec"": 0.819, ""agnews_ws"": 0.829, ""rotten_tomatoes"": 0.945, ""codealpaca"": 0.573, ""gsm8k"": 0.756, ""yahoo_se"": 0.933, ""tweets"": 0.847}",
20260820_131658,svm,mini,43,tau,0.02,0.3274,0.9881,0.9646,0.0234,0.9723,0.8878,0.9281,0.8125,0.8543,0.8329,"{""aus_legal_qa"": 0.803, ""bitext_banking"": 0.863, ""finqa_10k"": 0.836, ""medmcqa"": 0.748}","{""aus_legal_qa"": 0.097, ""bitext_banking"": 0.109, ""finqa_10k"": 0.077, ""medmcqa"": 0.225}","{""trec"": 0.837, ""agnews_ws"": 0.853, ""rotten_tomatoes"": 0.964, ""codealpaca"": 0.699, ""gsm8k"": 0.795, ""yahoo_se"": 0.948, ""tweets"": 0.885}","{""0.005"": {""tau"": 0.8867, ""val_acc"": 0.9768, ""aux_rej"": 0.8651, ""score"": 0.9175}, ""0.01"": {""tau"": 0.65264, ""val_acc"": 0.9721, ""aux_rej"": 0.9531, ""score"": 0.9625}, ""0.02"": {""tau"": 0.3274, ""val_acc"": 0.9631, ""aux_rej"": 0.9818, ""score"": 0.9724}, ""0.03"": {""tau"": 0.15432, ""val_acc"": 0.9533, ""aux_rej"": 0.9906, ""score"": 0.9716}, ""0.05"": {""tau"": 0.06145, ""val_acc"": 0.9347, ""aux_rej"": 0.9943, ""score"": 0.9636}, ""0.08"": {""tau"": 0.02081, ""val_acc"": 0.9059, ""aux_rej"": 0.9979, ""score"": 0.9497}, ""0.12"": {""tau"": 0.0084, ""val_acc"": 0.8677, ""aux_rej"": 0.999, ""score"": 0.9287}, ""0.2"": {""tau"": 0.00287, ""val_acc"": 0.7899, ""aux_rej"": 0.9995, ""score"": 0.8824}}"
20260820_131725,xgb,mini,43,argmax,,,1.0,0.9555,0.0445,0.9733,0.8734,0.9207,0.8233,0.8748,0.8482,"{""aus_legal_qa"": 0.79, ""bitext_banking"": 0.86, ""finqa_10k"": 0.869, ""medmcqa"": 0.774}","{""aus_legal_qa"": 0.135, ""bitext_banking"": 0.125, ""finqa_10k"": 0.06, ""medmcqa"": 0.192}","{""trec"": 0.831, ""agnews_ws"": 0.837, ""rotten_tomatoes"": 0.961, ""codealpaca"": 0.834, ""gsm8k"": 0.847, ""yahoo_se"": 0.94, ""tweets"": 0.874}",
20260820_131725,xgb,mini,43,tau,0.03,0.32947,1.0,0.9555,0.0445,0.9686,0.9048,0.9356,0.8,0.903,0.8484,"{""aus_legal_qa"": 0.763, ""bitext_banking"": 0.84, ""finqa_10k"": 0.848, ""medmcqa"": 0.75}","{""aus_legal_qa"": 0.168, ""bitext_banking"": 0.146, ""finqa_10k"": 0.082, ""medmcqa"": 0.224}","{""trec"": 0.851, ""agnews_ws"": 0.865, ""rotten_tomatoes"": 0.97, ""codealpaca"": 0.899, ""gsm8k"": 0.878, ""yahoo_se"": 0.953, ""tweets"": 0.905}","{""0.005"": {""tau"": 0.93676, ""val_acc"": 0.9729, ""aux_rej"": 0.7964, ""score"": 0.8758}, ""0.01"": {""tau"": 0.83759, ""val_acc"": 0.9689, ""aux_rej"": 0.8927, ""score"": 0.9292}, ""0.02"": {""tau"": 0.55312, ""val_acc"": 0.9599, ""aux_rej"": 0.9516, ""score"": 0.9557}, ""0.03"": {""tau"": 0.32947, ""val_acc"": 0.9502, ""aux_rej"": 0.975, ""score"": 0.9625}, ""0.05"": {""tau"": 0.10209, ""val_acc"": 0.9324, ""aux_rej"": 0.9938, ""score"": 0.9621}, ""0.08"": {""tau"": 0.03274, ""val_acc"": 0.9047, ""aux_rej"": 0.9969, ""score"": 0.9486}, ""0.12"": {""tau"": 0.01175, ""val_acc"": 0.8673, ""aux_rej"": 0.9984, ""score"": 0.9282}, ""0.2"": {""tau"": 0.00285, ""val_acc"": 0.7897, ""aux_rej"": 0.999, ""score"": 0.8821}}"
20260820_132303,svm,mini,44,argmax,,,0.9881,0.964,0.024,0.9752,0.8509,0.9088,0.8341,0.8094,0.8216,"{""aus_legal_qa"": 0.815, ""bitext_banking"": 0.883, ""finqa_10k"": 0.853, ""medmcqa"": 0.784}","{""aus_legal_qa"": 0.071, ""bitext_banking"": 0.091, ""finqa_10k"": 0.062, ""medmcqa"": 0.183}","{""trec"": 0.813, ""agnews_ws"": 0.827, ""rotten_tomatoes"": 0.939, ""codealpaca"": 0.543, ""gsm8k"": 0.763, ""yahoo_se"": 0.937, ""tweets"": 0.844}",
20260820_132303,svm,mini,44,tau,0.02,0.27625,0.9881,0.964,0.024,0.9703,0.8978,0.9326,0.8024,0.8631,0.8316,"{""aus_legal_qa"": 0.787, ""bitext_banking"": 0.851, ""finqa_10k"": 0.83, ""medmcqa"": 0.742}","{""aus_legal_qa"": 0.107, ""bitext_banking"": 0.127, ""finqa_10k"": 0.088, ""medmcqa"": 0.231}","{""trec"": 0.843, ""agnews_ws"": 0.877, ""rotten_tomatoes"": 0.966, ""codealpaca"": 0.694, ""gsm8k"": 0.814, ""yahoo_se"": 0.953, ""tweets"": 0.895}","{""0.005"": {""tau"": 0.87504, ""val_acc"": 0.975, ""aux_rej"": 0.8755, ""score"": 0.9226}, ""0.01"": {""tau"": 0.6293, ""val_acc"": 0.9712, ""aux_rej"": 0.9568, ""score"": 0.9639}, ""0.02"": {""tau"": 0.27625, ""val_acc"": 0.9627, ""aux_rej"": 0.9859, ""score"": 0.9742}, ""0.03"": {""tau"": 0.12478, ""val_acc"": 0.9533, ""aux_rej"": 0.9906, ""score"": 0.9716}, ""0.05"": {""tau"": 0.04512, ""val_acc"": 0.9345, ""aux_rej"": 0.9964, ""score"": 0.9644}, ""0.08"": {""tau"": 0.01894, ""val_acc"": 0.9059, ""aux_rej"": 0.9984, ""score"": 0.9499}, ""0.12"": {""tau"": 0.00788, ""val_acc"": 0.8673, ""aux_rej"": 0.999, ""score"": 0.9285}, ""0.2"": {""tau"": 0.00277, ""val_acc"": 0.7908, ""aux_rej"": 0.9995, ""score"": 0.883}}"
