timestamp,model,model_key,embedding,variant,rule,seed,tau,id_acc,gqr_bench_ood_acc,gqr_bench,new_ood_acc,gqr_new,acc_trec,acc_agnews_ws,acc_rotten_tomatoes,acc_codealpaca,acc_gsm8k,acc_yahoo_se,acc_tweets,banking77_reject,banking77_finance,banking77_law,banking77_healthcare
20260819_160636,XGBoost,xgb,baai,oe4,argmax,22,,0.9933,0.863,0.9236,0.8748,0.9303,0.9597,0.913,0.996,0.8639,0.756,0.9009,0.734,0.0714,0.8854,0.0191,0.0241
20260819_160636,XGBoost,xgb,baai,oe4,tau,22,0.03327,0.9776,0.9593,0.9683,0.9555,0.9664,0.9859,0.984,1.0,0.969,0.895,0.968,0.887,0.2482,0.7226,0.0121,0.0171
20260819_160643,XGBoost,xgb,mini,oe4,argmax,22,,0.99,0.9042,0.9452,0.9291,0.9586,0.9597,0.899,0.984,0.9259,0.878,0.9429,0.914,0.201,0.7698,0.0191,0.0101
20260819_160643,XGBoost,xgb,mini,oe4,tau,22,0.10949,0.9792,0.9594,0.9692,0.9727,0.9759,0.9758,0.96,0.993,0.976,0.962,0.986,0.956,0.3417,0.6392,0.0131,0.006
20260819_160644,XGBoost,xgb,tf_idf,oe4,argmax,22,,0.9732,0.7499,0.8471,0.7423,0.8422,0.9375,0.932,0.77,0.7427,0.66,0.6396,0.514,0.1648,0.7769,0.003,0.0553
20260819_160644,XGBoost,xgb,tf_idf,oe4,tau,22,0.45285,0.9702,0.7628,0.8541,0.7526,0.8476,0.9496,0.931,0.8,0.7718,0.634,0.6486,0.533,0.1839,0.7548,0.004,0.0573
20260819_160644,XGBoost,xgb,baai,ctrl3,argmax,22,,0.9974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9417,0.0261,0.0322
20260819_160644,XGBoost,xgb,baai,ctrl3,msp,22,0.98674,0.9768,0.6638,0.7905,0.6257,0.7628,0.7702,0.702,0.509,0.3103,0.772,0.7548,0.562,0.192,0.803,0.0,0.005
20260819_160644,XGBoost,xgb,mini,ctrl3,argmax,22,,0.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9568,0.0291,0.0141
20260819_160644,XGBoost,xgb,mini,ctrl3,msp,22,0.98711,0.9801,0.5958,0.7411,0.6371,0.7722,0.4194,0.688,0.665,0.5546,0.815,0.5526,0.765,0.1538,0.8342,0.009,0.003
20260819_160645,XGBoost,xgb,tf_idf,ctrl3,argmax,22,,0.9908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9427,0.003,0.0543
20260819_160645,XGBoost,xgb,tf_idf,ctrl3,msp,22,0.80359,0.9787,0.1199,0.2136,0.3147,0.4762,0.0181,0.635,0.343,0.2472,0.516,0.2312,0.212,0.1085,0.8673,0.002,0.0221
20260819_160727,SVM,svm,baai,oe4,argmax,22,,0.9948,0.8728,0.9298,0.8972,0.9435,0.9637,0.965,0.999,0.955,0.81,0.9049,0.683,0.0864,0.8915,0.0161,0.006
20260819_160727,SVM,svm,baai,oe4,tau,22,0.07016,0.9819,0.962,0.9719,0.967,0.9744,0.9899,0.993,1.0,0.992,0.949,0.97,0.875,0.2955,0.6945,0.009,0.001
20260819_160736,SVM,svm,mini,oe4,argmax,22,,0.9908,0.9174,0.9527,0.9485,0.9692,0.9597,0.937,0.994,0.97,0.928,0.968,0.883,0.2261,0.7146,0.0462,0.0131
20260819_160736,SVM,svm,mini,oe4,tau,22,0.13222,0.9804,0.971,0.9757,0.9797,0.98,0.9758,0.979,0.998,0.995,0.977,0.988,0.945,0.3658,0.594,0.0352,0.005
20260819_160747,SVM,svm,tf_idf,oe4,argmax,22,,0.9842,0.8709,0.9241,0.8658,0.9212,0.9657,0.958,0.921,0.9179,0.821,0.7898,0.687,0.1568,0.597,0.1025,0.1437
