batch_size,time_taken_embed,time_taken_law,time_taken_finance,time_taken_healthcare,results,model_name,embedding_model,embedding
1,0,0.00030691599977217265,0.00010892000000239932,4.799499993168865e-05,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,0.00010121800005435944,5.9863999922527e-05,3.7790000078530284e-05,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,7.165600027292385e-05,6.325200001811027e-05,4.301900025893701e-05,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,0.00011323299986543134,7.062399981805356e-05,4.217100013192976e-05,"[{'finance': 0, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,9.805299987419858e-05,5.756700011261273e-05,3.863700021611294e-05,"[{'finance': 0, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,0.00010549299986450933,7.975700009410502e-05,4.1169000269292155e-05,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,4.648499998438638e-05,7.609599970237468e-05,1.7487999684817623e-05,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,0.00010346699991714559,7.627199966009357e-05,4.706999970949255e-05,"[{'finance': 0, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,7.957200023156474e-05,6.944500000827247e-05,4.0360999719268875e-05,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,0.0001325420003013278,6.855900028313044e-05,3.72939998669608e-05,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,0.0001291050002691918,9.007900007418357e-05,4.5511000280384906e-05,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,4.198600026938948e-05,4.355400005806587e-05,3.581300006771926e-05,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,6.852000024082372e-05,5.5843000154709443e-05,3.703099991980707e-05,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,4.8831000185600715e-05,5.455699965750682e-05,4.228799980410258e-05,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,8.075000005192123e-05,7.294099987120717e-05,4.0379999973083613e-05,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,0.00011151999979119864,5.3495999964070506e-05,3.726400018422282e-05,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,0.0001799619999474089,9.095500035982695e-05,4.3107000237796456e-05,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,6.248299996514106e-05,6.65340003251913e-05,4.3807000110973604e-05,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,0.00049235000005865,5.6476000281691086e-05,3.829600018434576e-05,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,6.216200017661322e-05,6.93189999765309e-05,4.066200017405208e-05,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,5.0039000143442536e-05,5.322400011209538e-05,3.8082000173744746e-05,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,4.615399984686519e-05,5.198600001676823e-05,3.464500014160876e-05,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
