batch_size,time_taken_embed,time_taken_law,time_taken_finance,time_taken_healthcare,results,model_name,embedding_model,embedding
1,6379183,1142134,1059163,1358211,[1],svm,mini,True
1,7170459,1277354,1736585,778396,[1],svm,mini,True
1,9932281,867119,954291,618494,[1],svm,mini,True
1,7302535,1089248,720350,448039,[1],svm,mini,True
1,8327956,851029,744199,482121,[1],svm,mini,True
1,12710929,1028457,731221,458892,[1],svm,mini,True
1,7021980,990980,719544,551748,[1],svm,mini,True
1,8024282,1753800,926106,474847,[1],svm,mini,True
1,17577779,3597218,849904,502139,[1],svm,mini,True
1,13738406,1057901,819634,538907,[1],svm,mini,True
1,6679802,945126,1248306,484323,[1],svm,mini,True
1,6264699,796756,1109624,510208,[1],svm,mini,True
1,7010254,841252,851107,734189,[1],svm,mini,True
1,6269607,1331346,1056204,540070,[1],svm,mini,True
1,18562601,967501,917708,556258,[1],svm,mini,True
1,17243350,1892676,1745809,777202,[1],svm,mini,True
1,12227499,5739604,983338,576023,[1],svm,mini,True
1,11393336,1286694,991456,491887,[1],svm,mini,True
1,6711401,1590388,776369,590232,[1],svm,mini,True
1,6289305,1549935,704967,597020,[1],svm,mini,True
1,6240511,862047,765564,498987,[1],svm,mini,True
1,6489825,895469,682040,448651,[1],svm,mini,True
1,6212346,850690,675764,494186,[1],svm,mini,True
1,6870468,805193,680778,690245,[1],svm,mini,True
1,13183099,1040939,1168088,589485,[1],svm,mini,True
1,6381239,866799,1089898,1072721,[1],svm,mini,True
1,6417775,829672,761480,963339,[1],svm,mini,True
1,6331504,869108,681971,448350,[1],svm,mini,True
1,6408870,950382,654446,452657,[1],svm,mini,True
1,5824458,834978,680168,444471,[1],svm,mini,True
1,6793869,879514,690264,645767,[1],svm,mini,True
1,9140288,847576,775215,513108,[1],svm,mini,True
1,9842788,1040376,793428,725441,[1],svm,mini,True
1,12065988,963427,823931,522525,[1],svm,mini,True
1,11771050,1003948,1413813,457670,[1],svm,mini,True
1,6898332,3063605,816589,505563,[1],svm,mini,True
1,7630272,888350,806948,576799,[1],svm,mini,True
1,6870343,1043363,716915,450309,[1],svm,mini,True
1,7829871,835463,745362,524135,[1],svm,mini,True
1,6349709,869010,720126,470987,[1],svm,mini,True
1,5809813,838528,712338,448816,[1],svm,mini,True
1,5181339,881832,695840,625516,[1],svm,mini,True
1,6351949,916544,1138235,587109,[1],svm,mini,True
1,5910328,950518,699827,452637,[1],svm,mini,True
1,5382528,1645602,714704,497659,[1],svm,mini,True
1,4872641,1909862,1018816,644118,[1],svm,mini,True
1,6125359,907563,1609843,678907,[1],svm,mini,True
1,5776943,1046545,779065,461259,[1],svm,mini,True
1,11805597,1133154,1004840,493507,[1],svm,mini,True
1,6232082,860223,1866237,1066175,[1],svm,mini,True
1,8225674,1130351,2560740,844744,[1],svm,mini,True
1,12752585,933187,1396667,593025,[1],svm,mini,True
1,6646594,1172753,1210074,599359,[1],svm,mini,True
1,6727637,901520,844385,573677,[1],svm,mini,True
1,6257610,859030,1764245,682127,[1],svm,mini,True
1,7340610,1085727,899940,506465,[1],svm,mini,True
1,6252334,847858,692650,435897,[1],svm,mini,True
1,5377514,922411,752462,519316,[1],svm,mini,True
1,6393964,870301,694463,447293,[1],svm,mini,True
1,6423281,891055,1775778,873588,[1],svm,mini,True
1,5697726,846306,722667,481393,[1],svm,mini,True
1,5628135,1354438,742394,526802,[1],svm,mini,True
1,5912415,873337,935699,451163,[1],svm,mini,True
1,10585407,1016760,728710,463606,[1],svm,mini,True
1,10150499,1269439,1043364,783894,[1],svm,mini,True
1,10096227,3222344,1447768,887612,[1],svm,mini,True
1,10923397,829149,708953,1749358,[1],svm,mini,True
1,8225848,862212,1528510,705723,[1],svm,mini,True
1,6423418,3207534,830652,872104,[1],svm,mini,True
1,6578733,1080965,1184460,506804,[1],svm,mini,True
1,7072347,834104,998129,2200570,[1],svm,mini,True
1,5912163,1391962,1383952,492062,[1],svm,mini,True
1,5668057,945436,1029378,547344,[1],svm,mini,True
1,7257134,953835,818616,490578,[1],svm,mini,True
1,6371365,1636224,848575,1022773,[1],svm,mini,True
1,6004455,1964436,840545,687578,[1],svm,mini,True
1,6297792,1032278,814126,492925,[1],svm,mini,True
1,6448587,1963631,802972,559710,[1],svm,mini,True
1,6692556,1536890,916456,866605,[1],svm,mini,True
1,12165253,1950955,809626,570950,[1],svm,mini,True
1,12531812,1371188,1050754,758755,[1],svm,mini,True
1,9193358,980187,729098,569797,[1],svm,mini,True
1,9550667,817064,798094,1036205,[1],svm,mini,True
1,11918490,871619,737225,542641,[1],svm,mini,True
1,10669348,888330,1172501,2515524,[1],svm,mini,True
1,5858519,882201,692048,762373,[1],svm,mini,True
1,5670773,811934,695132,477136,[1],svm,mini,True
1,6525157,1269177,818054,721145,[1],svm,mini,True
1,5569343,1324004,698343,460260,[1],svm,mini,True
1,5567695,822030,698207,437575,[1],svm,mini,True
1,5626469,797551,650286,742579,[1],svm,mini,True
1,4638737,1489783,750861,455324,[1],svm,mini,True
1,5896334,756360,1382594,596584,[1],svm,mini,True
1,5624286,981728,904585,537404,[1],svm,mini,True
1,5586743,876391,671361,442899,[1],svm,mini,True
1,10882925,832864,715141,761287,[1],svm,mini,True
1,6348739,868855,804048,532456,[1],svm,mini,True
1,7481776,1331946,1065845,542116,[1],svm,mini,True
1,5881369,1838789,833193,439117,[1],svm,mini,True
1,5840790,816754,680274,608378,[1],svm,mini,True
1,6188933,823465,707595,454111,[1],svm,mini,True
1,5958659,959586,684706,435150,[1],svm,mini,True
1,6418307,1470774,902510,454179,[1],svm,mini,True
1,6028934,787066,670284,448089,[1],svm,mini,True
1,5409607,809034,716528,601879,[1],svm,mini,True
1,7643210,921344,692397,445625,[1],svm,mini,True
1,6783753,1117665,818189,428449,[1],svm,mini,True
1,6432719,832184,746206,464731,[1],svm,mini,True
1,2961013,1023035,1320668,546626,[1],svm,mini,True
1,3509909,1104222,675812,429758,[1],svm,mini,True
1,3380509,1028301,798240,456264,[1],svm,mini,True
1,3431621,835812,1111652,454703,[1],svm,mini,True
1,3219822,1000272,681468,521914,[1],svm,mini,True
1,4093061,832660,661565,448612,[1],svm,mini,True
1,2914896,841631,683688,620424,[1],svm,mini,True
1,2943671,738369,1208309,485146,[1],svm,mini,True
1,3118345,1087861,780655,439466,[1],svm,mini,True
1,3363585,832019,674087,468582,[1],svm,mini,True
1,3920269,895303,1007653,1025208,[1],svm,mini,True
1,5921560,1352217,1211732,681235,[1],svm,mini,True
1,4213605,1266986,870882,488920,[1],svm,mini,True
1,7919699,1125783,850021,636601,[1],svm,mini,True
1,7730371,1406841,1243932,892384,[1],svm,mini,True
1,3388375,1046060,736177,516571,[1],svm,mini,True
1,3852913,849090,709109,556655,[1],svm,mini,True
1,4852254,1582250,1870495,673679,[1],svm,mini,True
1,5127947,827452,680798,433249,[1],svm,mini,True
1,4021718,1042617,792139,702824,[1],svm,mini,True
1,4605228,882530,690244,430194,[1],svm,mini,True
1,3852815,926766,1167322,548498,[1],svm,mini,True
1,4378939,873133,825783,427382,[1],svm,mini,True
1,6459546,1175033,1025644,650683,[1],svm,mini,True
1,4686823,835967,650568,442695,[1],svm,mini,True
1,4793945,1104203,677879,451124,[1],svm,mini,True
1,4086612,1103990,687403,543852,[1],svm,mini,True
1,3929231,865490,713240,470667,[1],svm,mini,True
1,3060453,934108,996334,509374,[1],svm,mini,True
1,2747264,1064410,1484439,492373,[1],svm,mini,True
1,2850216,878078,673573,470104,[1],svm,mini,True
1,4006276,774885,647134,423404,[1],svm,mini,True
1,2569167,767310,659732,438070,[1],svm,mini,True
1,5009876,808568,802477,461463,[1],svm,mini,True
1,4160874,811236,676540,449582,[1],svm,mini,True
1,2802643,756972,1436498,668752,[1],svm,mini,True
1,7041902,1276888,868360,575102,[1],svm,mini,True
1,12903059,1364399,976287,789219,[1],svm,mini,True
1,4040483,814164,679576,498550,[1],svm,mini,True
1,3065875,1005218,804708,475962,[1],svm,mini,True
1,4700973,753596,642654,452463,[1],svm,mini,True
1,3405434,783050,708371,439980,[1],svm,mini,True
1,4333626,892840,722259,448117,[1],svm,mini,True
1,4672780,1013539,835783,654777,[1],svm,mini,True
1,5003854,835404,805474,555288,[1],svm,mini,True
1,5783635,1530663,828344,441038,[1],svm,mini,True
1,3566501,828509,721377,447293,[1],svm,mini,True
1,3306829,868691,874752,485951,[1],svm,mini,True
1,4806340,848450,664814,446343,[1],svm,mini,True
1,4052986,762481,644060,452851,[1],svm,mini,True
1,3115746,829410,775146,810179,[1],svm,mini,True
1,3142504,1284802,723085,466069,[1],svm,mini,True
1,3856133,793128,702068,428740,[1],svm,mini,True
1,4317506,1035972,679508,438088,[1],svm,mini,True
1,3885199,773333,690923,426634,[1],svm,mini,True
1,3209202,826850,799946,844899,[1],svm,mini,True
1,2864967,1718051,723482,446546,[1],svm,mini,True
1,3410265,815551,682776,434956,[1],svm,mini,True
1,3003183,1175246,759347,461016,[1],svm,mini,True
1,2931054,1235814,852493,473431,[1],svm,mini,True
1,4267569,795437,747351,459639,[1],svm,mini,True
1,2773373,732948,838100,846344,[1],svm,mini,True
1,2842185,823369,905516,457680,[1],svm,mini,True
1,3035402,952157,768746,446207,[1],svm,mini,True
1,3870147,836976,650150,465013,[1],svm,mini,True
1,5669948,1140563,850961,493497,[1],svm,mini,True
1,4893657,1603714,1201074,918880,[1],svm,mini,True
1,8387330,1202354,905137,566334,[1],svm,mini,True
1,3580573,849060,694260,448418,[1],svm,mini,True
1,3627923,821846,697839,489492,[1],svm,mini,True
1,3883841,839070,764963,534969,[1],svm,mini,True
1,3685649,1464964,671264,446381,[1],svm,mini,True
1,3387919,742549,639084,446226,[1],svm,mini,True
1,3589360,809820,653448,448107,[1],svm,mini,True
1,3003901,771141,869399,522544,[1],svm,mini,True
1,2849545,1470153,769696,456730,[1],svm,mini,True
1,3650841,753936,689041,439369,[1],svm,mini,True
1,3995444,749106,837130,512565,[1],svm,mini,True
1,3034141,852930,897573,484982,[1],svm,mini,True
1,4885821,823921,843746,497328,[1],svm,mini,True
1,4580293,844395,708963,1052412,[1],svm,mini,True
1,4892561,928260,724005,446857,[1],svm,mini,True
1,4106503,825948,667802,449650,[1],svm,mini,True
1,5370191,834648,676677,450745,[1],svm,mini,True
1,3884607,753945,684114,462287,[1],svm,mini,True
1,5461039,775176,677966,478435,[1],svm,mini,True
1,3954069,780432,659645,425917,[1],svm,mini,True
1,4076127,1540110,797687,431581,[1],svm,mini,True
1,4355021,855344,730979,458543,[1],svm,mini,True
1,4564435,759890,749911,832077,[1],svm,mini,True
1,4593600,763324,671012,459852,[1],svm,mini,True
1,4106058,794922,651935,473460,[1],svm,mini,True
1,4680809,856974,654990,499996,[0],svm,mini,True
1,4511937,782178,705520,466651,[0],svm,mini,True
1,8144447,863850,704502,471510,[1],svm,mini,True
1,4207554,797066,660906,602636,[1],svm,mini,True
1,4708829,1355922,1209404,816744,[1],svm,mini,True
1,5448935,1144850,1021599,592909,[1],svm,mini,True
1,2819539,867401,1281718,464798,[1],svm,mini,True
1,5143745,805367,647958,531380,[1],svm,mini,True
1,2837743,739795,642100,425180,[1],svm,mini,True
1,3874734,1460280,856441,456458,[1],svm,mini,True
1,4014056,1218008,910123,819101,[1],svm,mini,True
1,5629049,1066466,1494157,1710506,[1],svm,mini,True
1,4366097,916330,1694513,661081,[1],svm,mini,True
1,6584445,1280068,695007,452617,[0],svm,mini,True
1,4253593,951856,758339,519635,[1],svm,mini,True
1,4235669,897205,698149,449029,[1],svm,mini,True
1,4788212,816055,671487,426024,[0],svm,mini,True
1,3546348,762122,759688,474837,[1],svm,mini,True
1,3774091,806812,804058,480608,[1],svm,mini,True
1,3482230,874384,652478,448641,[1],svm,mini,True
1,4591370,857090,743461,478504,[1],svm,mini,True
1,4561759,797153,668771,431843,[1],svm,mini,True
1,5936371,943933,930083,886158,[1],svm,mini,True
1,5383508,858245,768668,447952,[1],svm,mini,True
1,4425988,763509,857236,800664,[0],svm,mini,True
1,4664856,874655,670663,465119,[1],svm,mini,True
1,3277849,1056660,713841,452414,[1],svm,mini,True
1,4845803,892587,734325,483702,[0],svm,mini,True
1,3888612,1101904,718380,487329,[1],svm,mini,True
1,6240929,870659,696927,431057,[1],svm,mini,True
1,10435612,1314538,1163627,768212,[1],svm,mini,True
1,4684719,1007449,709972,450571,[1],svm,mini,True
1,4214925,813253,663175,449417,[1],svm,mini,True
1,3164093,852271,1123057,520013,[1],svm,mini,True
1,3458603,940383,670372,453306,[1],svm,mini,True
1,3557142,779628,644040,460677,[1],svm,mini,True
1,4090879,788327,1361403,498347,[0],svm,mini,True
1,4938969,889978,716615,450339,[1],svm,mini,True
1,2757282,823998,1141116,622402,[1],svm,mini,True
1,4394776,868050,708313,454015,[1],svm,mini,True
1,4600244,1359452,985550,1077212,[1],svm,mini,True
1,5046809,961264,707877,426634,[1],svm,mini,True
1,4996085,787765,733675,452288,[1],svm,mini,True
1,3922966,795203,664601,440940,[1],svm,mini,True
1,4634140,796833,674338,464973,[0],svm,mini,True
1,4836076,833397,717439,469726,[1],svm,mini,True
1,3131292,1305034,743898,454034,[1],svm,mini,True
1,3524642,832359,645631,449795,[1],svm,mini,True
1,3835085,809412,672535,431164,[1],svm,mini,True
1,6661948,806134,673621,438264,[1],svm,mini,True
1,3000312,966482,672380,825657,[1],svm,mini,True
1,3198883,1242360,750599,441125,[1],svm,mini,True
1,3441292,1129255,1071529,504592,[1],svm,mini,True
1,4121284,768775,630928,488183,[1],svm,mini,True
1,2968927,895332,1163074,502440,[1],svm,mini,True
1,3474538,775525,740066,438341,[0],svm,mini,True
1,3917709,773585,674358,466206,[1],svm,mini,True
1,3232004,1060026,745003,490782,[1],svm,mini,True
1,7625616,1006702,1198911,919317,[1],svm,mini,True
1,4176111,1834696,2651422,955037,[1],svm,mini,True
1,5732795,7985475,785456,452356,[1],svm,mini,True
1,3446869,855781,671517,489734,[1],svm,mini,True
1,3383226,819207,771946,725567,[1],svm,mini,True
1,4003872,925243,664766,449872,[1],svm,mini,True
1,4131914,1411932,879940,456293,[1],svm,mini,True
1,4578052,803399,844153,562775,[1],svm,mini,True
1,3102681,816637,707751,1197281,[1],svm,mini,True
1,3180068,1431698,957491,625778,[0],svm,mini,True
1,3768050,847954,669916,495165,[1],svm,mini,True
1,4697017,790247,1110284,498075,[1],svm,mini,True
1,3138266,1111652,680721,459785,[0],svm,mini,True
1,4648950,797706,953069,468833,[1],svm,mini,True
1,3721669,1859254,890522,481122,[1],svm,mini,True
1,4092431,856897,807405,541584,[1],svm,mini,True
1,3148789,1268178,1152299,668675,[1],svm,mini,True
1,3974582,788977,677471,448738,[1],svm,mini,True
1,2956804,933536,739087,618338,[1],svm,mini,True
1,3806553,812913,682776,451405,[1],svm,mini,True
1,3691381,769250,651323,448379,[1],svm,mini,True
1,4607760,864840,677996,553735,[1],svm,mini,True
1,3130333,897505,923372,490093,[1],svm,mini,True
1,4393729,778639,645766,451337,[0],svm,mini,True
1,3886586,767659,749047,854103,[1],svm,mini,True
1,3249344,1151687,730881,450008,[0],svm,mini,True
1,2851680,828674,749164,446614,[1],svm,mini,True
1,4727373,818626,674000,433259,[1],svm,mini,True
1,3715550,1123125,924031,451580,[1],svm,mini,True
1,4825893,867885,846674,502827,[1],svm,mini,True
1,5837764,2075544,845172,786737,[1],svm,mini,True
1,5005803,1516038,1494478,956948,[0],svm,mini,True
1,9032593,972747,813301,487746,[0],svm,mini,True
1,3844514,1030910,806183,468639,[1],svm,mini,True
1,5958173,973058,764691,459823,[1],svm,mini,True
1,3415561,892869,716983,504301,[1],svm,mini,True
1,4542245,1011066,831651,455469,[0],svm,mini,True
1,4015084,795707,684784,484128,[0],svm,mini,True
1,2903451,1393495,942284,774953,[0],svm,mini,True
1,4153290,780394,668219,500869,[1],svm,mini,True
1,3012513,895187,1253194,773052,[1],svm,mini,True
1,3137189,1518647,685288,445334,[1],svm,mini,True
1,3466110,746458,675076,479037,[1],svm,mini,True
1,3619815,785893,707683,517491,[1],svm,mini,True
1,2621792,786950,890745,766767,[0],svm,mini,True
1,3100664,1823863,738816,446663,[1],svm,mini,True
1,2942935,799674,663234,590795,[1],svm,mini,True
1,3539034,742259,638648,471083,[1],svm,mini,True
1,3594210,779229,908242,699758,[1],svm,mini,True
1,3111380,1069258,720456,456390,[0],svm,mini,True
1,3591747,856063,763557,501945,[1],svm,mini,True
1,2690983,881075,682486,599126,[1],svm,mini,True
1,3414125,926562,665435,473596,[0],svm,mini,True
1,4355604,766873,638813,420816,[1],svm,mini,True
1,3023734,974426,843260,557130,[1],svm,mini,True
1,2986734,1078929,1015896,447021,[0],svm,mini,True
1,3004667,1031502,725354,434530,[1],svm,mini,True
1,3565938,778124,678703,465090,[0],svm,mini,True
1,4148023,876838,847809,721552,[0],svm,mini,True
1,3339174,1063992,732987,525067,[1],svm,mini,True
1,6280924,841980,793118,887593,[1],svm,mini,True
1,4957154,1550352,2086290,1056253,[1],svm,mini,True
1,7107824,2243429,1383797,468291,[1],svm,mini,True
1,3849431,818548,704996,457825,[1],svm,mini,True
1,2776922,762432,670217,640897,[1],svm,mini,True
1,2850187,745314,729999,552484,[1],svm,mini,True
1,3463423,1062266,670168,427507,[1],svm,mini,True
1,3428179,755487,665755,487969,[1],svm,mini,True
1,3629407,778415,699846,469765,[0],svm,mini,True
1,4662169,792362,689682,455605,[0],svm,mini,True
1,3171882,808422,1796097,580485,[0],svm,mini,True
1,4819133,846422,701631,552542,[1],svm,mini,True
1,2476273,765428,1070800,584567,[1],svm,mini,True
1,3899621,1081858,665309,466099,[1],svm,mini,True
1,4531189,794670,665591,447516,[0],svm,mini,True
1,4630347,882540,682214,606758,[0],svm,mini,True
1,3457159,780045,706810,495166,[1],svm,mini,True
1,3837579,871193,864656,596992,[0],svm,mini,True
1,2744704,968189,679896,507870,[1],svm,mini,True
1,3227464,813883,708002,428652,[0],svm,mini,True
1,3357689,936222,696422,456080,[0],svm,mini,True
1,2624876,756544,695307,425646,[1],svm,mini,True
1,3423785,1630850,978732,470240,[1],svm,mini,True
1,4002757,2032918,1237453,1490937,[1],svm,mini,True
1,6697803,794224,829459,542088,[0],svm,mini,True
1,6572467,951129,2397685,772577,[1],svm,mini,True
1,6483957,2426510,1142396,1567867,[0],svm,mini,True
1,5201365,965211,1434240,660887,[1],svm,mini,True
1,4905683,960401,1868584,1603481,[1],svm,mini,True
1,3795952,908465,765991,485874,[0],svm,mini,True
1,3171930,1335342,682651,451967,[1],svm,mini,True
1,3637447,830467,720039,440097,[1],svm,mini,True
1,2725578,795970,773295,896506,[1],svm,mini,True
1,2813487,934156,966879,473780,[0],svm,mini,True
1,3138460,1240285,1104426,462500,[1],svm,mini,True
1,2873831,782838,681797,523486,[0],svm,mini,True
1,2987907,760676,1073507,491819,[0],svm,mini,True
1,2798444,1118343,734539,432764,[0],svm,mini,True
1,2960043,1393194,816541,465371,[1],svm,mini,True
1,3995618,797201,689139,539101,[0],svm,mini,True
1,2788764,1491606,736818,445964,[1],svm,mini,True
1,3876227,774041,664165,430068,[1],svm,mini,True
1,3534088,780161,735615,445615,[0],svm,mini,True
1,3366087,937308,703803,494147,[1],svm,mini,True
1,4252303,793943,726527,477010,[1],svm,mini,True
1,2862852,925603,697528,850263,[0],svm,mini,True
1,3030010,814475,850060,476709,[1],svm,mini,True
1,4260848,1424589,727438,429554,[0],svm,mini,True
1,4143562,779308,699934,560476,[1],svm,mini,True
1,2518318,1442172,810993,460357,[1],svm,mini,True
1,4109713,922247,670285,440339,[0],svm,mini,True
1,2896867,831370,1534532,511110,[1],svm,mini,True
1,4427257,802099,704482,430087,[1],svm,mini,True
1,3630464,1571203,912500,610619,[1],svm,mini,True
1,4331822,2686405,1200763,921917,[0],svm,mini,True
1,8776179,850922,714860,432076,[0],svm,mini,True
1,3869807,817937,645941,423929,[0],svm,mini,True
1,3767399,1697761,772189,455343,[0],svm,mini,True
1,3595229,825802,750774,473362,[1],svm,mini,True
1,3881155,974396,757592,1493983,[1],svm,mini,True
1,5076875,1719176,2386725,832078,[0],svm,mini,True
