batch_size,time_taken_embed,time_taken_law,time_taken_finance,time_taken_healthcare,results,model_name,embedding_model,embedding
1,6379183,1303007,1933100,3284493,[1],xgb,mini,True
1,7170459,1229577,452559,392156,[1],xgb,mini,True
1,9932281,624138,1163985,710195,[1],xgb,mini,True
1,7302535,1893917,405327,362779,[1],xgb,mini,True
1,8327956,786028,365427,353410,[1],xgb,mini,True
1,12710929,1781636,525076,400147,[1],xgb,mini,True
1,7021980,1200035,932808,1639676,[1],xgb,mini,True
1,8024282,1164576,802691,5063005,[1],xgb,mini,True
1,17577779,34772111,46288685,1931053,[1],xgb,mini,True
1,13738406,14361575,2774750,965124,[1],xgb,mini,True
1,6679802,981108,748970,749533,[1],xgb,mini,True
1,6264699,2603093,3555911,923061,[1],xgb,mini,True
1,7010254,1742986,3445734,1822408,[1],xgb,mini,True
1,6269607,601648,3420846,910298,[1],xgb,mini,True
1,18562601,1401477,1162570,934796,[1],xgb,mini,True
1,17243350,1791296,3238579,1413754,[1],xgb,mini,True
1,12227499,14473911,1059618,1066727,[1],xgb,mini,True
1,11393336,1145247,770016,820450,[1],xgb,mini,True
1,6711401,1969557,515814,358502,[1],xgb,mini,True
1,6289305,593025,365359,511508,[1],xgb,mini,True
1,6240511,619667,441047,374979,[1],xgb,mini,True
1,6489825,1550613,972525,670595,[1],xgb,mini,True
1,6212346,1654253,531380,784651,[1],xgb,mini,True
1,6870468,1638629,448341,603588,[1],xgb,mini,True
1,13183099,1216048,824406,813649,[1],xgb,mini,True
1,6381239,599135,714142,578506,[1],xgb,mini,True
1,6417775,782993,399236,362371,[1],xgb,mini,True
1,6331504,1278323,1061645,1039348,[1],xgb,mini,True
1,6408870,599436,1396540,621414,[1],xgb,mini,True
1,5824458,683377,363187,657793,[1],xgb,mini,True
1,6793869,621461,394639,402456,[1],xgb,mini,True
1,9140288,652788,390963,363040,[1],xgb,mini,True
1,9842788,2309573,2409906,4469214,[1],xgb,mini,True
1,12065988,23527117,13042255,2670160,[1],xgb,mini,True
1,11771050,1540382,774642,915263,[1],xgb,mini,True
1,6898332,2874878,2698286,837810,[1],xgb,mini,True
1,7630272,1182481,1452947,1134744,[1],xgb,mini,True
1,6870343,1395929,1370325,931179,[1],xgb,mini,True
1,7829871,888204,371779,508472,[1],xgb,mini,True
1,6349709,2362072,414987,458233,[1],xgb,mini,True
1,5809813,601521,1323267,497580,[1],xgb,mini,True
1,5181339,641305,355097,349230,[1],xgb,mini,True
1,6351949,1062945,369296,352993,[1],xgb,mini,True
1,5910328,1454131,370286,349511,[1],xgb,mini,True
1,5382528,607059,361528,859496,[1],xgb,mini,True
1,4872641,2437635,2957715,1463102,[1],xgb,mini,True
1,6125359,1894869,844317,778058,[1],xgb,mini,True
1,5776943,614197,2145491,409749,[1],xgb,mini,True
1,11805597,833804,405191,865936,[1],xgb,mini,True
1,6232082,1886314,1183664,2470192,[1],xgb,mini,True
1,8225674,27381385,3130895,5325442,[1],xgb,mini,True
1,12752585,2024888,1471860,4754355,[1],xgb,mini,True
1,6646594,1315886,1051569,2138032,[1],xgb,mini,True
1,6727637,2310155,1834319,1440417,[1],xgb,mini,True
1,6257610,1486728,1079947,4884626,[1],xgb,mini,True
1,7340610,1887119,1586547,2348620,[1],xgb,mini,True
1,6252334,881754,1491588,767232,[1],xgb,mini,True
1,5377514,1916011,1663390,6299179,[1],xgb,mini,True
1,6393964,2848662,1151135,817521,[1],xgb,mini,True
1,6423281,1483256,2010602,2182578,[1],xgb,mini,True
1,5697726,764575,658627,787357,[1],xgb,mini,True
1,5628135,815755,870756,1022511,[1],xgb,mini,True
1,5912415,981108,2420933,2096561,[1],xgb,mini,True
1,10585407,2400284,2645632,1313675,[1],xgb,mini,True
1,10150499,2039562,3530956,1453821,[1],xgb,mini,True
1,10096227,12304255,6351542,4383478,[1],xgb,mini,True
1,10923397,2070976,1909978,2984357,[1],xgb,mini,True
1,8225848,1695695,842406,770724,[1],xgb,mini,True
