model,accuracy,train_accuracy,recall,precision,cost,latency,date
SVM_jigsaw_mini,40.35,0.0,0.0,0.0,0.0,842244.5046670815,2025-04-13 12:25:39.116961
XGBoost_jigsaw_mini,93.0,0.0,0.0,0.0,0.0,1635884.3945239577,2025-04-13 12:25:39.215394
SVM_olid_mini,58.04,0.0,0.0,0.0,0.0,815860.0551252847,2025-04-13 12:26:21.220567
XGBoost_olid_mini,88.82,0.0,0.0,0.0,0.0,1652270.0232346242,2025-04-13 12:26:21.333400
SVM_hate_xplain_mini,33.16,0.0,0.0,0.0,0.0,755454.0325189553,2025-04-13 12:26:38.269202
XGBoost_hate_xplain_mini,84.79,0.0,0.0,0.0,0.0,1531204.7715248526,2025-04-13 12:26:38.379391
SVM_tuke_sk_mini,17.77,0.0,0.0,0.0,0.0,757949.3013333334,2025-04-13 12:27:06.325249
XGBoost_tuke_sk_mini,68.09,0.0,0.0,0.0,0.0,1364301.7649855074,2025-04-13 12:27:06.430026
SVM_dkk_mini,19.51,0.0,0.0,0.0,0.0,736777.4634146341,2025-04-13 12:27:06.775188
XGBoost_dkk_mini,65.85,0.0,0.0,0.0,0.0,1379521.6585365853,2025-04-13 12:27:06.865767
SVM_dkk_all_mini,30.4,0.0,0.0,0.0,0.0,898431.0547112462,2025-04-13 12:27:08.198671
XGBoost_dkk_all_mini,67.48,0.0,0.0,0.0,0.0,1808601.319148936,2025-04-13 12:27:08.297779
SVM_jigsaw_baai,67.92,0.0,0.0,0.0,0.0,681032.5460485376,2025-04-13 12:27:22.749974
XGBoost_jigsaw_baai,82.27,0.0,0.0,0.0,0.0,1453388.0581829497,2025-04-13 12:27:22.847764
SVM_olid_baai,60.95,0.0,0.0,0.0,0.0,687249.7375854214,2025-04-13 12:27:54.789151
XGBoost_olid_baai,70.7,0.0,0.0,0.0,0.0,1371945.9848899012,2025-04-13 12:27:54.900003
SVM_hate_xplain_baai,53.61,0.0,0.0,0.0,0.0,691315.6074136478,2025-04-13 12:28:09.166902
XGBoost_hate_xplain_baai,75.23,0.0,0.0,0.0,0.0,1396296.601179444,2025-04-13 12:28:09.270018
SVM_tuke_sk_baai,36.44,0.0,0.0,0.0,0.0,687908.3291594203,2025-04-13 12:28:38.955587
XGBoost_tuke_sk_baai,57.88,0.0,0.0,0.0,0.0,1383065.6983188405,2025-04-13 12:28:39.065521
SVM_dkk_baai,26.83,0.0,0.0,0.0,0.0,722806.2926829269,2025-04-13 12:28:39.338938
XGBoost_dkk_baai,39.02,0.0,0.0,0.0,0.0,1357063.975609756,2025-04-13 12:28:39.425815
SVM_dkk_all_baai,24.32,0.0,0.0,0.0,0.0,756988.0547112462,2025-04-13 12:28:40.742261
XGBoost_dkk_all_baai,47.42,0.0,0.0,0.0,0.0,1584020.9027355623,2025-04-13 12:28:40.836365
SVM_jigsaw_tf_idf,1.8,0.0,0.0,0.0,0.0,1405858.4766645925,2025-04-13 12:28:57.389761
XGBoost_jigsaw_tf_idf,59.09,0.0,0.0,0.0,0.0,2930177.13130056,2025-04-13 12:28:57.488899
SVM_olid_tf_idf,4.06,0.0,0.0,0.0,0.0,1259506.679498861,2025-04-13 12:29:55.023175
XGBoost_olid_tf_idf,71.62,0.0,0.0,0.0,0.0,2850604.609035687,2025-04-13 12:29:55.137797
SVM_hate_xplain_tf_idf,2.63,0.0,0.0,0.0,0.0,1303237.4375737153,2025-04-13 12:30:22.787212
XGBoost_hate_xplain_tf_idf,66.37,0.0,0.0,0.0,0.0,2879697.6687447345,2025-04-13 12:30:22.896310
SVM_tuke_sk_tf_idf,3.83,0.0,0.0,0.0,0.0,1079282.1627826088,2025-04-13 12:30:59.071281
XGBoost_tuke_sk_tf_idf,99.94,0.0,0.0,0.0,0.0,2763110.987594203,2025-04-13 12:30:59.386370
SVM_dkk_tf_idf,2.44,0.0,0.0,0.0,0.0,1268920.9268292682,2025-04-13 12:30:59.690991
XGBoost_dkk_tf_idf,100.0,0.0,0.0,0.0,0.0,2860312.7317073173,2025-04-13 12:30:59.786360
SVM_dkk_all_tf_idf,2.13,0.0,0.0,0.0,0.0,1247486.1550151976,2025-04-13 12:31:01.381338
XGBoost_dkk_all_tf_idf,100.0,0.0,0.0,0.0,0.0,3131963.58662614,2025-04-13 12:31:01.478046
fastText_jigsaw_fastText,68.45,0.0,0.0,0.0,0.0,207228.49346608587,2025-04-13 12:31:05.536592
fastText_olid_fastText,67.75,0.0,0.0,0.0,0.0,58202.94745634017,2025-04-13 12:31:08.003144
fastText_hate_xplain_fastText,54.54,0.0,0.0,0.0,0.0,110174.4097725358,2025-04-13 12:31:10.059995
fastText_tuke_sk_fastText,71.68,0.0,0.0,0.0,0.0,95469.05750724638,2025-04-13 12:31:12.409266
fastText_dkk_fastText,60.98,0.0,0.0,0.0,0.0,142896.60975609755,2025-04-13 12:31:13.427188
fastText_dkk_all_fastText,67.78,0.0,0.0,0.0,0.0,103150.51367781156,2025-04-13 12:31:14.451982
