model,accuracy,train_accuracy,recall,precision,cost,latency,date
SVM_law_mini,99.89,0.9922222222222222,99.89,99.78,0.0,3663947370.9408474,2025-04-13 10:52:09.599565
XGBoost_law_mini,99.88,0.991904761904762,99.78,99.87,0.0,11310773.940847194,2025-04-13 10:52:19.667600
SVM_law_mini,99.11,0.9950793650793651,98.28,99.0,0.0,872987198.4782991,2025-04-13 11:04:09.793027
XGBoost_law_mini,99.02,0.9933333333333334,98.28,98.73,0.0,8116373.478299133,2025-04-13 11:04:17.885173
SVM_law_mini,99.19,0.9938095238095238,98.34,99.22,0.0,965927025.6096781,2025-04-13 11:06:15.718563
XGBoost_law_mini,98.93,0.9925396825396826,97.74,99.04,0.0,9341192.609678177,2025-04-13 11:06:23.676016
SVM_law_tf_idf,94.01,0.9707936507936508,82.82,99.13,0.0,3119750139.222946,2025-04-13 11:08:20.817432
XGBoost_law_tf_idf,94.33,0.9684126984126984,86.74,95.91,0.0,12351305.222946055,2025-04-13 11:08:31.379781
SVM_law_baai,99.21,0.993968253968254,98.61,99.04,0.0,673151665.1638125,2025-04-13 11:09:48.439912
XGBoost_law_baai,97.76,0.9857142857142858,95.11,98.13,0.0,9056599.163812527,2025-04-13 11:09:56.470711
fastText_law_fastText,99.68,0.9977777777777778,99.49,99.56,0.0,64359.228,2025-04-13 11:16:33.215265
SVM_healthcare_mini,99.58,0.9976190476190476,98.98,99.73,0.0,712194657.9904653,2025-04-13 11:17:31.119779
XGBoost_healthcare_mini,99.05,0.9946031746031746,97.6,99.49,0.0,7807703.99046526,2025-04-13 11:17:37.808585
SVM_healthcare_tf_idf,97.66,0.9895238095238096,93.15,99.69,0.0,2810379723.3558946,2025-04-13 11:19:30.847025
XGBoost_healthcare_tf_idf,95.66,0.9773015873015872,90.0,96.51,0.0,12843872.355894353,2025-04-13 11:19:40.983445
SVM_healthcare_baai,99.67,0.9988888888888889,99.3,99.68,0.0,383527764.28562075,2025-04-13 11:20:51.987529
XGBoost_healthcare_baai,98.71,0.9931746031746032,97.51,98.54,0.0,8546225.285620742,2025-04-13 11:20:58.331911
fastText_healthcare_fastText,99.77,0.999015873015873,99.5,99.8,0.0,20365.073925925924,2025-04-13 11:26:24.823769
SVM_finance_mini,99.15,0.9955555555555555,98.55,98.92,0.0,932401074.3513193,2025-04-13 11:27:20.798816
XGBoost_finance_mini,98.75,0.9931746031746032,99.45,96.93,0.0,11935621.35131933,2025-04-13 11:27:30.975773
SVM_finance_tf_idf,96.01,0.9753968253968253,89.64,98.44,0.0,2791805307.6942124,2025-04-13 11:29:25.320894
XGBoost_finance_tf_idf,95.62,0.9774603174603174,97.77,90.12,0.0,10372142.694212204,2025-04-13 11:29:32.291899
SVM_finance_baai,99.4,0.9968253968253968,99.08,99.14,0.0,602905266.0814255,2025-04-13 11:30:46.781962
XGBoost_finance_baai,98.19,0.9912698412698413,97.55,97.12,0.0,7647783.081425538,2025-04-13 11:30:52.124668
fastText_finance_fastText,99.76,0.9983492063492063,99.57,99.7,0.0,69426.40874074074,2025-04-13 12:07:15.782263
