model,domain,accuracy,recall,precision,cost,latency,log_latency
SVM,finance,97.58500000000001,98.85,96.39,0.0,0.9953104313787433,-0.0020414442713115183
SVM,healthcare,99.63,99.475,99.775,0.0,0.4269911110110819,-0.3695811659094477
SVM,law,99.81,99.81,99.815,0.0,0.4462778746075555,-0.35039464391017344
XGBoost,finance,98.91,99.475,98.35,0.0,0.46072909804541007,-0.33655435835402947
XGBoost,healthcare,99.725,99.62,99.82,0.0,0.48515175273330424,-0.31412239528186403
XGBoost,law,99.745,99.81,99.68,0.0,0.4767977776075556,-0.32166577754429776
fastText,finance,92.74,90.89,94.29,0.0,0.009606843,-2.0174193067055204
fastText,healthcare,98.56,98.57,98.53,0.0,0.013150490555555555,-1.8810580462923105
fastText,law,98.38,97.88,98.88,0.0,0.019163637333333327,-1.7175220566420313
gpt4o-mini,finance,71.88,50.8,79.72,0.0106783499999995,734.994707306,2.8662842117425966
gpt4o-mini,healthcare,96.33,99.58,86.84,0.0233576999999996,563.4369082212501,2.7508452922624973
gpt4o-mini,law,98.47,99.44,95.11,0.041358600000003,752.8426413795,2.8767042097700872
modernbert,finance,69.24,39.48,85.67,0.0,23.34528927206667,1.368199259654016
modernbert,healthcare,93.16,82.18,88.29,0.0,24.356114798866667,1.3866080123687234
modernbert,law,93.65,86.8,89.7,0.0,25.1730932915,1.400936585309465
