model,accuracy,train_accuracy,recall,precision,cost,latency,date
gpt4o-mini_law_ada-002,98.4,0.984,99.19,95.25,0.04117200000000295,897607995.3825,2025-03-07 17:36:43.924025
modernbert_law_bert-base,93.66,0.9366,86.82,89.4,0.0,21704532.789366666,2025-03-07 17:48:05.832619
gpt4o-mini_healthcare_ada-002,96.67,0.96675,99.16,88.26,0.023087549999999717,750420125.77725,2025-03-07 18:55:54.076138
modernbert_healthcare_bert-base,93.2,0.9320333333333334,82.16,88.8,0.0,20297245.413266666,2025-03-07 19:06:38.762254
gpt4o-mini_finance_ada-002,77.35,0.7735,63.42,83.83,0.010701299999999537,716221196.78175,2025-03-07 20:12:03.446976
modernbert_finance_bert-base,69.54,0.6954,39.41,85.72,0.0,24103350.7866,2025-03-07 20:24:56.220842
fastText_law_fastText,98.4,0.9849523809523809,97.77,99.04,0.0,17140.794,2025-03-07 20:25:03.789099
SVM_law_mini,99.79,0.999,99.8,99.78,0.0,1416988.3062222223,2025-03-07 20:26:38.685264
XGBoost_law_mini,99.8,1.0,99.8,99.8,0.0,1361258.8014444443,2025-03-07 20:26:45.103604
SVM_law_baai,99.79,0.9984285714285714,99.76,99.82,0.0,1811191.5389999999,2025-03-07 20:39:32.687603
XGBoost_law_baai,99.67,1.0,99.67,99.67,0.0,1904261.3664444443,2025-03-07 20:39:41.691328
fastText_healthcare_fastText,98.49,0.9843333333333333,98.34,98.65,0.0,12536.612666666666,2025-03-07 20:39:46.425159
SVM_healthcare_mini,99.7,0.9979047619047619,99.6,99.8,0.0,1305810.066111111,2025-03-07 20:41:11.274734
XGBoost_healthcare_mini,99.77,1.0,99.62,99.91,0.0,1302093.9745555557,2025-03-07 20:41:17.843117
SVM_healthcare_baai,99.64,0.9960476190476191,99.47,99.82,0.0,1085496.5202222222,2025-03-07 20:49:56.313014
XGBoost_healthcare_baai,99.69,1.0,99.58,99.8,0.0,1147281.974,2025-03-07 20:50:03.047010
fastText_finance_fastText,92.74,0.930047619047619,90.68,94.4,0.0,8886.066111111111,2025-03-07 20:50:06.069900
SVM_finance_mini,98.0,0.9843333333333333,98.99,97.02,0.0,1222969.7114444445,2025-03-07 20:52:42.269005
XGBoost_finance_mini,99.08,0.9999523809523809,99.35,98.79,0.0,653948.1735555555,2025-03-07 20:52:52.268685
SVM_finance_baai,97.3,0.9748571428571429,98.38,96.24,0.0,852318.8585555556,2025-03-07 20:59:57.429455
XGBoost_finance_baai,99.09,0.9998571428571429,99.39,98.77,0.0,563780.2224444444,2025-03-07 21:00:05.017368
