model,accuracy,train_accuracy,recall,precision,cost,latency,date
gpt4o-mini_law_ada-002,86.48,0.86475,56.55,78.85,0.046089900000004465,496684800.79075,2025-03-28 16:14:59.297416
modernbert_law_bert-base,93.56,0.9355666666666667,86.58,87.46,0.0,23947304.156266667,2025-03-28 16:28:44.740427
gpt4o-mini_healthcare_ada-002,89.6,0.896,62.03,83.41,0.04567860000000415,328373998.856,2025-03-28 17:17:50.317928
modernbert_healthcare_bert-base,95.02,0.9502,82.5,92.41,0.0,22379878.791433334,2025-03-28 17:30:26.245047
gpt4o-mini_finance_ada-002,84.55,0.8455,82.82,87.87,0.049402350000004695,362317599.858,2025-03-28 18:25:37.688591
modernbert_finance_bert-base,63.0,0.63,38.31,87.36,0.0,22374461.120533332,2025-03-28 18:38:13.294121
fastText_law_fastText,99.77,0.9989206349206349,99.58,99.73,0.0,27258.23637037037,2025-03-28 18:44:16.519855
SVM_law_mini,99.88,0.9942857142857143,99.87,99.78,0.0,464909.1547122798,2025-03-28 18:46:41.743111
XGBoost_law_mini,99.91,0.9944444444444445,99.8,99.93,0.0,348258.83708265016,2025-03-28 18:46:53.674484
SVM_law_baai,99.9,0.9952380952380953,99.8,99.91,0.0,343707.2477948948,2025-03-28 18:53:21.834516
XGBoost_law_baai,99.8,0.9884126984126984,99.69,99.71,0.0,362077.30712822813,2025-03-28 18:53:38.334115
