model,accuracy,train_accuracy,recall,precision,cost,latency,date
SVM_jigsaw_mini-1,59.61,0.0,0.0,0.0,0.0,1985441.459863099,2025-04-19 12:35:15.100264
XGBoost_jigsaw_mini-1,47.57,0.0,0.0,0.0,0.0,1798281.7196639702,2025-04-19 12:35:15.202792
SVM_jigsaw_mini-16,59.61,0.0,0.0,0.0,0.0,16661964.169154229,2025-04-19 12:35:19.083425
XGBoost_jigsaw_mini-16,47.57,0.0,0.0,0.0,0.0,2108215.109452736,2025-04-19 12:35:19.185853
SVM_jigsaw_mini-32,59.61,0.0,0.0,0.0,0.0,30568062.613861386,2025-04-19 12:35:22.627949
XGBoost_jigsaw_mini-32,47.57,0.0,0.0,0.0,0.0,2496134.415841584,2025-04-19 12:35:22.726680
SVM_jigsaw_mini-64,59.61,0.0,0.0,0.0,0.0,61307020.333333336,2025-04-19 12:35:26.088862
XGBoost_jigsaw_mini-64,47.57,0.0,0.0,0.0,0.0,2612771.294117647,2025-04-19 12:35:26.190894
SVM_jigsaw_mini-128,59.61,0.0,0.0,0.0,0.0,117699716.6923077,2025-04-19 12:35:29.428665
XGBoost_jigsaw_mini-128,47.57,0.0,0.0,0.0,0.0,3010533.8076923075,2025-04-19 12:35:29.531249
SVM_jigsaw_mini-256,59.61,0.0,0.0,0.0,0.0,233590268,2025-04-19 12:35:32.740113
XGBoost_jigsaw_mini-256,47.57,0.0,0.0,0.0,0.0,5885898.307692308,2025-04-19 12:35:32.846030
SVM_olid_mini-1,71.74,0.0,0.0,0.0,0.0,2002091.768604651,2025-04-19 12:35:39.383499
XGBoost_olid_mini-1,77.44,0.0,0.0,0.0,0.0,1885162.8279069767,2025-04-19 12:35:39.476119
SVM_olid_mini-16,71.74,0.0,0.0,0.0,0.0,15557181.870370371,2025-04-19 12:35:40.563649
XGBoost_olid_mini-16,77.44,0.0,0.0,0.0,0.0,2045240.611111111,2025-04-19 12:35:40.659224
SVM_olid_mini-32,71.74,0.0,0.0,0.0,0.0,27943781.296296295,2025-04-19 12:35:41.567610
XGBoost_olid_mini-32,77.44,0.0,0.0,0.0,0.0,2344047.7407407407,2025-04-19 12:35:41.663948
SVM_olid_mini-64,71.74,0.0,0.0,0.0,0.0,54105530.21428572,2025-04-19 12:35:42.568335
XGBoost_olid_mini-64,77.44,0.0,0.0,0.0,0.0,4029627.8571428573,2025-04-19 12:35:42.669721
SVM_olid_mini-128,71.74,0.0,0.0,0.0,0.0,105471200.14285715,2025-04-19 12:35:43.514328
XGBoost_olid_mini-128,77.44,0.0,0.0,0.0,0.0,3003536.1428571427,2025-04-19 12:35:43.607242
SVM_olid_mini-256,71.74,0.0,0.0,0.0,0.0,184493026.25,2025-04-19 12:35:44.448013
XGBoost_olid_mini-256,77.44,0.0,0.0,0.0,0.0,2780583.75,2025-04-19 12:35:44.542312
SVM_hate_xplain_mini-1,61.63,0.0,0.0,0.0,0.0,1913894.0852569502,2025-04-19 12:36:08.971363
