model,accuracy,train_accuracy,recall,precision,cost,latency,date
SVM_law_mini,99.87,0.9948611111111111,99.67,99.93,0.0,2891078949.346928,2025-04-18 18:45:15.865706
XGBoost_law_mini,99.84,0.9934722222222222,99.67,99.87,0.0,11202891.346927976,2025-04-18 18:45:33.616845
SVM_law_tf_idf,99.69,0.9720833333333333,99.38,99.7,0.0,14208070744.02307,2025-04-18 19:11:51.303535
XGBoost_law_tf_idf,98.63,0.9668055555555555,96.21,99.76,0.0,9367051.023068454,2025-04-18 19:12:16.201385
SVM_law_baai,99.83,0.99375,99.74,99.77,0.0,2335389930.1610155,2025-04-18 19:15:04.699646
XGBoost_law_baai,99.81,0.9873611111111111,99.64,99.8,0.0,10035386.161015663,2025-04-18 19:15:20.287609
fastText_law_fastText,99.77,0.9980833333333333,99.61,99.71,0.0,36971.911555555555,2025-04-18 19:21:28.710218
SVM_healthcare_mini,99.96,0.9973611111111111,99.9,99.97,0.0,1546301812.591468,2025-04-18 19:23:27.399581
XGBoost_healthcare_mini,99.92,0.9940277777777778,99.9,99.87,0.0,7811766.5914680585,2025-04-18 19:23:37.364494
SVM_healthcare_tf_idf,99.86,0.9897222222222222,99.67,99.9,0.0,11072243832.09222,2025-04-18 19:43:36.663645
XGBoost_healthcare_tf_idf,99.03,0.975,97.53,99.6,0.0,21920117.09222022,2025-04-18 19:44:00.892698
SVM_healthcare_baai,99.96,0.997638888888889,99.9,99.97,0.0,974838190.0359465,2025-04-18 19:45:50.888314
XGBoost_healthcare_baai,99.99,0.9916666666666666,100.0,99.97,0.0,7697771.035946457,2025-04-18 19:46:00.179378
fastText_healthcare_fastText,99.83,0.9986944444444444,99.73,99.76,0.0,19091.54411111111,2025-04-18 20:09:20.217459
SVM_finance_mini,99.93,0.9947222222222223,99.9,99.9,0.0,2888016753.9408107,2025-04-18 20:12:22.858603
XGBoost_finance_mini,99.99,0.9930555555555556,100.0,99.97,0.0,7893113.940810522,2025-04-18 20:12:32.040566
SVM_finance_tf_idf,99.86,0.9754166666666666,99.66,99.9,0.0,11429231712.109842,2025-04-18 20:31:24.235083
XGBoost_finance_tf_idf,98.84,0.9759722222222222,99.87,96.74,0.0,8815799.109842377,2025-04-18 20:31:44.686956
SVM_finance_baai,99.82,0.9969444444444445,99.87,99.6,0.0,1658231251.891496,2025-04-18 20:34:11.984358
XGBoost_finance_baai,99.92,0.9902777777777778,99.9,99.87,0.0,9403568.891495895,2025-04-18 20:34:23.713245
fastText_finance_fastText,99.81,0.9989444444444444,99.63,99.8,0.0,65630.03755555555,2025-04-18 20:40:40.975454
