batch_size,time_taken_embed,time_taken_law,time_taken_finance,time_taken_healthcare,results,model_name,embedding_model,embedding
1,0,5.320017226040363e-05,1.640012487769127e-05,1.550000160932541e-05,"[{'finance': 0, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,1.559988595545292e-05,8.19982960820198e-06,9.800074622035027e-06,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,1.1899974197149277e-05,7.899943739175797e-06,6.800051778554916e-06,"[{'finance': 1, 'healthcare': 1, 'law': 0}]",fasttext,fasttext,False
1,0,1.1299969628453255e-05,6.200047209858894e-06,5.699926987290382e-06,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,1.1200085282325745e-05,5.800044164061546e-06,5.400041118264198e-06,"[{'finance': 1, 'healthcare': 1, 'law': 0}]",fasttext,fasttext,False
1,0,1.6399892047047615e-05,9.09995287656784e-06,8.899951353669167e-06,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,1.3499986380338669e-05,1.0499963536858559e-05,9.200070053339005e-06,"[{'finance': 1, 'healthcare': 1, 'law': 0}]",fasttext,fasttext,False
1,0,2.4399952962994576e-05,1.5900004655122757e-05,1.600012183189392e-05,"[{'finance': 0, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,1.4899997040629387e-05,9.200070053339005e-06,8.899951353669167e-06,"[{'finance': 0, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,7.00005330145359e-06,4.400033503770828e-06,4.299916326999664e-06,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,2.4300068616867065e-05,1.2399861589074135e-05,1.3299984857439995e-05,"[{'finance': 0, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,0.00010560010559856892,5.8999983593821526e-05,5.6399963796138763e-05,"[{'finance': 0, 'healthcare': 0, 'law': 1}]",fasttext,fasttext,False
1,0,1.4899997040629387e-05,8.299946784973145e-06,7.700175046920776e-06,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,4.42001037299633e-05,1.910002902150154e-05,1.910002902150154e-05,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,1.6300007700920105e-05,1.0200077667832375e-05,1.00000761449337e-05,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,3.810017369687557e-05,2.119992859661579e-05,2.1800165995955467e-05,"[{'finance': 0, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,8.300179615616798e-06,5.5998098105192184e-06,6.500165909528732e-06,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,2.3799948394298553e-05,1.3200100511312485e-05,1.300009898841381e-05,"[{'finance': 0, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,9.400071576237679e-06,4.800036549568176e-06,4.499917849898338e-06,"[{'finance': 1, 'healthcare': 0, 'law': 0}]",fasttext,fasttext,False
1,0,7.6000578701496124e-06,5.19980676472187e-06,5.299923941493034e-06,"[{'finance': 1, 'healthcare': 1, 'law': 0}]",fasttext,fasttext,False
1,0,5.070003680884838e-05,2.9199989512562752e-05,3.2800016924738884e-05,"[{'finance': 0, 'healthcare': 0, 'law': 1}]",fasttext,fasttext,False
1,0,1.1400086805224419e-05,8.799834176898003e-06,7.6000578701496124e-06,"[{'finance': 1, 'healthcare': 1, 'law': 0}]",fasttext,fasttext,False
1,0,2.210005186498165e-05,1.2999866157770157e-05,1.2299977242946625e-05,"[{'finance': 0, 'healthcare': 1, 'law': 0}]",fasttext,fasttext,False
