model,domain,embed_model,embeedding,f1,accuracy,train_accuracy,recall,precision,cost,latency,date,batch_size
SVM,jigsaw,mini,True,0.0,65.68,0.0,0.0,0.0,0.0,900571.5619166148,2025-04-28 14:38:23.348942,1
SVM,olid,mini,True,0.0,78.26,0.0,0.0,0.0,0.0,899231.8604651163,2025-04-28 14:38:29.542871,1
SVM,hate_xplain,mini,True,0.0,68.74,0.0,0.0,0.0,0.0,813869.7388374052,2025-04-28 14:39:10.499597,1
SVM,tuke_sk,mini,True,0.0,44.63,0.0,0.0,0.0,0.0,817738.8946819603,2025-04-28 14:39:16.468246,1
SVM,dkk,mini,True,0.0,60.18,0.0,0.0,0.0,0.0,822937.3860182371,2025-04-28 14:39:18.539457,1
SVM,web_questions,mini,True,0.0,98.97,0.0,0.0,0.0,0.0,835257.6279527559,2025-04-28 14:39:26.363794,1
SVM,ml_questions,mini,True,0.0,96.09,0.0,0.0,0.0,0.0,872610.9375,2025-04-28 14:39:27.303649,1
SVM,jigsaw,mini,True,0.0,65.68,0.0,0.0,0.0,0.0,951542.626011201,2025-04-28 14:49:05.435855,1
SVM,olid,mini,True,0.0,78.26,0.0,0.0,0.0,0.0,899338.8372093023,2025-04-28 14:49:06.325007,1
SVM,hate_xplain,mini,True,0.0,68.74,0.0,0.0,0.0,0.0,1005194.3555181129,2025-04-28 14:49:12.514162,1
SVM,tuke_sk,mini,True,0.0,44.63,0.0,0.0,0.0,0.0,1127674.0354535975,2025-04-28 14:49:13.718921,1
SVM,dkk,mini,True,0.0,60.18,0.0,0.0,0.0,0.0,1250104.8632218845,2025-04-28 14:49:14.292318,1
SVM,web_questions,mini,True,0.0,98.97,0.0,0.0,0.0,0.0,931345.5216535433,2025-04-28 14:49:16.353790,1
SVM,ml_questions,mini,True,0.0,96.09,0.0,0.0,0.0,0.0,1030084.375,2025-04-28 14:49:16.620308,1
SVM,jigsaw,tf_idf,True,0.0,66.46,0.0,0.0,0.0,0.0,2528218.7927815807,2025-04-28 14:49:24.890447,1
SVM,olid,tf_idf,True,0.0,99.65,0.0,0.0,0.0,0.0,1771830.5813953488,2025-04-28 14:49:26.560191,1
SVM,hate_xplain,tf_idf,True,0.0,58.45,0.0,0.0,0.0,0.0,2692541.8365627634,2025-04-28 14:49:42.815778,1
SVM,tuke_sk,tf_idf,True,0.0,98.96,0.0,0.0,0.0,0.0,1069630.2398331596,2025-04-28 14:49:43.990209,1
SVM,dkk,tf_idf,True,0.0,100.0,0.0,0.0,0.0,0.0,1343411.8541033436,2025-04-28 14:49:44.577544,1
SVM,web_questions,tf_idf,True,0.0,96.51,0.0,0.0,0.0,0.0,1622968.159448819,2025-04-28 14:49:48.021051,1
SVM,ml_questions,tf_idf,True,0.0,100.0,0.0,0.0,0.0,0.0,1783154.6875,2025-04-28 14:49:48.360323,1
SVM,jigsaw,mini,True,0.0,65.68,0.0,0.0,0.0,0.0,849148.5998755445,2025-04-28 16:09:29.982033,1
SVM,olid,mini,True,0.0,78.26,0.0,0.0,0.0,0.0,818325.3488372093,2025-04-28 16:09:30.797339,1
SVM,hate_xplain,mini,True,0.0,68.74,0.0,0.0,0.0,0.0,823156.1920808762,2025-04-28 16:09:35.810452,1
SVM,tuke_sk,mini,True,0.0,44.63,0.0,0.0,0.0,0.0,826214.4942648592,2025-04-28 16:09:36.713069,1
SVM,dkk,mini,True,0.0,60.18,0.0,0.0,0.0,0.0,838585.7142857143,2025-04-28 16:09:37.102809,1
SVM,web_questions,mini,True,0.0,98.97,0.0,0.0,0.0,0.0,848707.7263779527,2025-04-28 16:09:38.946895,1
SVM,ml_questions,mini,True,0.0,96.09,0.0,0.0,0.0,0.0,845204.6875,2025-04-28 16:09:39.153292,1
SVM,jigsaw,tf_idf,True,0.0,66.46,0.0,0.0,0.0,0.0,2397917.983820784,2025-04-28 16:09:47.290159,1
SVM,olid,tf_idf,True,0.0,99.65,0.0,0.0,0.0,0.0,1521947.2093023255,2025-04-28 16:09:48.712839,1
SVM,hate_xplain,tf_idf,True,0.0,58.45,0.0,0.0,0.0,0.0,2081219.393428812,2025-04-28 16:10:01.194518,1
SVM,tuke_sk,tf_idf,True,0.0,98.96,0.0,0.0,0.0,0.0,899744.3169968717,2025-04-28 16:10:02.162499,1
SVM,dkk,tf_idf,True,0.0,100.0,0.0,0.0,0.0,0.0,1055143.7689969605,2025-04-28 16:10:02.606976,1
SVM,web_questions,tf_idf,True,0.0,96.51,0.0,0.0,0.0,0.0,1217265.403543307,2025-04-28 16:10:05.196623,1
SVM,ml_questions,tf_idf,True,0.0,100.0,0.0,0.0,0.0,0.0,1483346.09375,2025-04-28 16:10:05.490652,1
SVM,jigsaw,baai,True,0.0,66.61,0.0,0.0,0.0,0.0,350236.7454884879,2025-04-28 16:11:40.952736,1
SVM,olid,baai,True,0.0,86.51,0.0,0.0,0.0,0.0,349313.37209302327,2025-04-28 16:11:57.786353,1
SVM,hate_xplain,baai,True,0.0,74.39,0.0,0.0,0.0,0.0,346660.151642797,2025-04-28 16:14:06.524566,1
SVM,tuke_sk,baai,True,0.0,80.29,0.0,0.0,0.0,0.0,360383.21167883213,2025-04-28 16:14:27.604832,1
SVM,dkk,baai,True,0.0,89.67,0.0,0.0,0.0,0.0,359628.2674772036,2025-04-28 16:14:34.727167,1
SVM,web_questions,baai,True,0.0,99.41,0.0,0.0,0.0,0.0,353763.5334645669,2025-04-28 16:15:08.319735,1
SVM,ml_questions,baai,True,0.0,100.0,0.0,0.0,0.0,0.0,365959.375,2025-04-28 16:15:10.927475,1
